Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	48012.8	0.4	196.0	0.0	1390.4	0.49	2508.0	0.0	9.4	0.0	3.5	0.0	37.2	0.0	5.0	0.0	47727.2	239.18	149.4	62.4	2362.6	133.8	43.8	30.1	1173.0	34.92	-258.0	52.38	2.1	1.41	0.16	0.08	-0.6	0.13	-8.62	29.28	6.04	63.87	7.3	1.41	3.3	0.08	4.1	0.13	78.0	14.85	94.0	2.4	117.0	3.79	-45.82	29.28	-31.16	63.87	-1.24	0.79	-0.82	1.72
10.0	0.0	48015.0	0.0	314.0	0.0	3782.0	0.0	2508.0	0.0	15.1	0.0	9.5	0.0	62.9	0.0	10.0	0.0	47335.6	170.68	2501.4	85.32	4547.2	85.58	239.6	27.8	2107.2	29.94	-319.8	20.79	11.34	1.34	5.26	0.16	-1.44	0.08	46.94	5.2	-12.88	1.74	3.8	1.34	4.2	0.16	10.9	0.08	25.0	8.77	44.0	1.62	115.0	0.8	-15.96	5.2	-75.78	1.74	-0.28	0.1	-1.22	0.04
15.0	0.0	48015.0	0.0	436.0	0.0	6169.8	0.4	2508.0	0.0	20.9	0.0	15.5	0.0	74.2	0.0	15.0	0.0	47255.0	137.67	4909.0	75.21	7063.8	50.76	342.2	51.16	2094.2	63.02	-179.4	25.22	16.16	2.43	10.28	0.45	-1.26	0.21	65.26	11.31	-8.04	2.11	4.7	2.43	5.2	0.45	16.8	0.21	22.0	11.57	34.0	2.94	108.0	1.6	-8.94	11.31	-82.24	2.11	-0.1	0.14	-1.12	0.04
20.0	0.0	48015.0	0.0	560.0	0.0	8556.8	0.4	2508.0	0.0	26.9	0.0	21.5	0.0	79.9	0.0	20.0	0.0	47322.4	202.01	7335.0	121.75	9460.2	186.48	439.6	36.47	2135.2	14.16	-177.4	46.53	20.82	1.8	15.64	0.28	-1.68	0.41	75.74	7.08	-8.14	2.15	6.1	1.8	5.9	0.28	23.2	0.41	23.0	6.89	27.0	1.36	108.0	2.0	-4.16	7.08	-88.04	2.15	-0.08	0.1	-1.1	0.0
25.0	0.0	48018.0	0.0	686.0	0.0	10947.0	0.0	2508.0	0.0	32.9	0.0	27.5	0.0	83.6	0.0	25.0	0.0	47187.2	78.58	9733.0	98.44	11838.6	160.93	593.0	24.12	2164.6	33.0	-79.4	52.2	28.0	1.11	21.08	0.25	-0.92	0.6	75.38	3.29	-3.28	2.12	4.9	1.11	6.4	0.25	28.4	0.6	15.0	3.43	23.0	0.8	103.0	2.14	-8.22	3.29	-86.88	2.12	-0.1	0.06	-1.04	0.05
30.0	0.0	48015.0	0.0	812.0	0.0	13333.0	0.0	2508.0	0.0	39.0	0.0	33.4	0.0	85.6	0.0	30.0	0.0	47254.8	156.08	12131.2	117.82	14262.8	94.25	678.8	40.77	2174.6	42.7	-78.4	47.38	32.08	1.83	26.38	0.61	-1.12	0.69	82.52	5.5	-3.6	2.35	6.9	1.83	7.0	0.61	34.5	0.69	18.0	4.54	21.0	1.9	103.0	2.14	-3.08	5.5	-89.2	2.35	-0.04	0.08	-1.04	0.05
35.0	0.0	48016.0	0.0	938.0	0.0	15723.0	0.0	2508.0	0.0	45.0	0.0	39.4	0.0	87.6	0.0	35.0	0.0	47335.8	292.72	14529.2	93.82	16659.2	67.61	816.4	26.75	2263.6	38.89	-26.4	29.47	38.64	1.36	32.88	0.5	-0.42	0.5	85.18	2.78	-1.08	1.27	6.4	1.36	6.5	0.5	39.8	0.5	14.0	3.19	16.0	1.2	101.0	1.41	-2.42	2.78	-88.68	1.27	-0.02	0.04	-1.0	0.0
40.0	0.0	48012.0	0.0	1063.0	0.0	18108.8	0.4	2508.0	0.0	51.0	0.0	45.4	0.0	89.0	0.0	40.0	0.0	47295.2	109.63	17019.6	106.9	19065.4	90.14	919.0	40.73	2265.8	39.41	-28.6	21.73	43.46	2.03	38.56	0.66	-0.56	0.41	89.0	5.56	-1.3	1.0	7.5	2.03	6.8	0.66	46.0	0.41	15.0	3.87	15.0	1.41	101.0	0.89	-0.0	5.56	-90.3	1.0	0.0	0.09	-1.0	0.0
45.0	0.0	48018.0	0.0	1188.0	0.0	20502.2	0.4	2508.0	0.0	57.0	0.0	51.4	0.0	90.2	0.0	45.0	0.0	47254.8	239.27	19325.6	128.47	21434.6	67.99	1046.0	50.39	2287.6	17.28	-25.4	35.15	49.44	2.5	44.24	0.25	-0.54	0.77	89.7	4.3	-1.08	1.5	7.6	2.5	7.2	0.25	51.9	0.77	13.0	4.35	14.0	0.4	101.0	1.41	-0.5	4.3	-91.28	1.5	-0.02	0.07	-1.0	0.0
50.0	0.0	48015.0	0.0	1313.0	0.0	22894.4	0.49	2508.0	0.0	63.0	0.0	57.4	0.0	91.1	0.0	50.0	0.0	47268.2	141.68	21732.8	75.14	23775.8	129.19	1149.8	78.87	2274.4	35.17	13.0	38.97	54.34	3.78	49.42	0.61	0.3	0.93	91.42	6.77	0.48	1.72	8.7	3.78	8.0	0.61	57.1	0.93	14.0	5.84	14.0	1.26	99.0	1.62	0.32	6.77	-90.62	1.72	0.0	0.06	-1.0	0.0
55.0	0.0	48017.8	0.4	1437.0	0.0	25293.6	0.49	2508.0	0.0	69.0	0.0	63.4	0.0	91.9	0.0	55.0	0.0	47241.2	193.72	24168.0	106.77	26375.0	50.39	1336.8	43.12	2295.0	30.37	25.8	42.33	63.14	1.9	55.48	0.81	0.7	1.1	87.94	2.41	1.14	1.76	5.9	1.9	7.9	0.81	62.7	1.1	9.0	2.73	12.0	1.36	99.0	1.9	-3.96	2.41	-90.76	1.76	-0.04	0.05	-1.0	0.0
5.0	0.0	48015.2	0.4	235.0	0.0	1248.8	0.4	3511.0	0.0	11.3	0.0	4.4	0.0	38.9	0.0	5.0	0.0	47659.6	108.08	-200.8	84.8	2334.4	125.47	98.8	45.37	2117.0	109.71	-271.8	64.08	4.72	2.17	-0.4	0.17	-0.64	0.19	-9.7	5.72	-16.5	9.46	6.6	2.17	4.8	0.17	5.0	0.19	58.0	19.12	109.0	3.6	114.0	4.08	-48.6	5.72	-55.4	9.46	-1.24	0.14	-1.42	0.26
10.0	0.0	48018.0	0.0	403.0	0.0	3644.8	0.4	3511.0	0.0	19.4	0.0	12.8	0.0	66.0	0.0	10.0	0.0	47416.6	89.61	2427.8	79.14	4482.8	105.25	260.8	21.7	3117.4	80.17	-325.0	39.76	12.36	1.02	7.58	0.32	-1.46	0.16	61.66	4.86	-11.86	1.45	7.0	1.02	5.2	0.32	14.3	0.16	36.0	5.16	41.0	2.42	112.0	1.36	-4.34	4.86	-77.86	1.45	-0.08	0.07	-1.2	0.0
15.0	0.0	48014.2	0.4	574.4	0.49	6035.2	0.4	3511.0	0.0	27.6	0.0	21.2	0.0	76.8	0.0	15.0	0.0	47268.2	73.76	4789.0	65.05	6999.2	141.8	465.4	28.03	3123.8	40.91	-228.2	42.15	22.02	1.36	14.98	0.33	-1.6	0.29	68.26	4.17	-7.32	1.5	5.6	1.36	6.2	0.33	22.8	0.29	20.0	4.87	29.0	1.85	108.0	1.2	-8.54	4.17	-84.12	1.5	-0.12	0.07	-1.1	0.0
20.0	0.0	48012.6	0.49	749.0	0.0	8423.0	0.0	3511.0	0.0	36.0	0.0	29.6	0.0	82.2	0.0	20.0	0.0	47268.2	245.13	7177.8	89.2	9423.2	53.64	621.8	42.89	3128.6	44.1	-222.2	57.79	29.38	1.97	22.46	0.28	-2.1	0.55	76.8	5.25	-7.18	1.83	6.6	1.97	7.1	0.28	31.7	0.55	18.0	5.39	24.0	1.1	107.0	1.83	-5.4	5.25	-89.38	1.83	-0.08	0.07	-1.1	0.0
