Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	24056.0	0.0	172.0	0.0	987.0	0.0	502.0	0.0	4.1	0.0	0.5	0.0	12.2	0.0	5.0	0.0	23809.2	174.04	-385.4	141.05	528.2	34.42	98.8	60.71	204.8	45.49	-167.6	20.42	2.34	1.44	-0.08	0.04	-0.1	0.0	-3.4	2.7	-23.4	38.36	1.8	1.44	0.6	0.04	0.6	0.0	44.0	35.28	120.0	8.0	120.0	0.0	-15.6	2.7	-35.6	38.36	-1.28	0.23	-2.92	3.15
10.0	0.0	24057.0	0.0	192.0	0.0	2146.0	0.0	502.0	0.0	4.6	0.0	1.1	0.0	23.9	0.0	10.0	0.0	23620.2	167.63	832.2	67.61	1606.6	74.74	89.4	32.72	179.0	38.8	-162.4	37.82	2.12	0.78	0.16	0.05	-0.24	0.08	8.02	2.58	-13.7	6.9	2.5	0.78	0.9	0.05	1.3	0.08	54.0	17.01	82.0	4.41	118.0	7.2	-15.88	2.58	-37.6	6.9	-0.68	0.12	-1.56	0.3
15.0	0.0	24057.4	0.49	213.0	0.0	3317.8	0.4	502.0	0.0	5.1	0.0	1.7	0.0	33.3	0.0	15.0	0.0	23674.2	139.03	2169.4	67.85	2859.8	53.64	140.0	51.06	165.6	22.62	-79.4	41.47	3.32	1.2	0.38	0.04	-0.22	0.13	13.34	6.06	-7.88	4.56	1.8	1.2	1.3	0.04	1.9	0.13	35.0	23.54	76.0	2.4	112.0	7.96	-19.96	6.06	-41.18	4.56	-0.56	0.19	-1.26	0.15
20.0	0.0	24057.6	0.49	237.0	0.0	4497.0	0.0	502.0	0.0	5.7	0.0	2.3	0.0	40.4	0.0	20.0	0.0	23606.6	188.94	3230.2	79.14	4095.6	99.09	158.0	54.25	155.8	43.91	-63.6	17.55	3.72	1.27	0.5	0.15	-0.28	0.07	17.24	11.44	-9.0	5.08	2.0	1.27	1.8	0.15	2.6	0.07	35.0	22.32	78.0	6.58	113.0	2.99	-23.16	11.44	-49.4	5.08	-0.58	0.27	-1.24	0.14
25.0	0.0	24056.6	0.49	261.0	0.0	5683.8	0.4	502.0	0.0	6.3	0.0	2.9	0.0	46.0	0.0	25.0	0.0	23796.0	198.41	4355.6	46.91	5266.0	82.29	161.6	17.56	251.6	51.73	-23.2	61.86	3.84	0.38	1.08	0.22	-0.12	0.33	28.6	7.33	-3.16	8.14	2.5	0.38	1.8	0.22	3.0	0.33	40.0	5.91	62.0	7.65	103.0	11.54	-17.4	7.33	-49.16	8.14	-0.34	0.16	-1.08	0.17
30.0	0.0	24054.4	0.49	286.0	0.0	6872.8	0.4	502.0	0.0	6.9	0.0	3.48	0.04	50.42	0.56	30.0	0.0	23701.2	112.83	5563.8	114.17	6501.4	89.67	236.4	65.92	264.6	20.15	-22.4	38.93	5.6	1.57	1.5	0.09	-0.16	0.26	29.36	9.43	-2.64	3.84	1.3	1.57	2.0	0.1	3.6	0.27	19.0	22.59	57.0	2.71	103.0	7.39	-21.06	9.63	-53.06	3.9	-0.42	0.21	-1.02	0.07
35.0	0.0	24052.8	0.4	311.2	0.4	8066.0	0.0	502.0	0.0	7.5	0.0	4.0	0.0	53.3	0.0	35.0	0.0	23566.2	204.94	6809.0	54.02	7533.4	185.31	227.0	65.27	289.6	19.65	-11.4	55.91	5.32	1.53	1.96	0.15	-0.08	0.41	40.28	13.08	-3.24	8.73	2.2	1.53	2.0	0.15	4.1	0.41	29.0	20.12	50.0	3.35	102.0	10.17	-13.02	13.08	-56.54	8.73	-0.24	0.24	-1.06	0.16
40.0	0.0	24052.0	0.0	337.0	0.0	9260.2	0.4	502.0	0.0	8.1	0.0	4.6	0.0	56.8	0.0	40.0	0.0	23647.2	167.6	7906.8	111.53	8833.4	62.4	220.6	31.68	300.6	30.51	-9.4	49.65	5.2	0.77	2.4	0.24	-0.1	0.44	47.66	10.32	-0.98	8.22	2.9	0.77	2.2	0.24	4.7	0.44	36.0	9.56	48.0	5.33	102.0	9.81	-9.14	10.32	-57.78	8.22	-0.16	0.16	-1.04	0.16
45.0	0.0	24051.6	0.49	362.0	0.0	10458.2	0.4	502.0	0.0	8.7	0.0	5.22	0.04	60.02	0.44	45.0	0.0	23553.0	183.12	9087.2	187.78	10049.8	45.07	255.6	58.9	237.4	13.57	30.8	41.92	6.04	1.38	2.14	0.14	0.32	0.43	36.9	6.69	4.78	7.36	2.7	1.38	3.1	0.12	4.9	0.4	31.0	15.88	59.0	2.14	94.0	8.17	-23.12	6.9	-55.24	7.15	-0.38	0.12	-0.92	0.12
50.0	0.0	24053.0	0.0	386.0	0.0	11658.0	0.0	502.0	0.0	9.3	0.0	5.9	0.0	63.4	0.0	50.0	0.0	23512.0	162.0	10277.2	101.06	11165.6	77.45	247.0	65.39	253.8	22.62	24.6	49.37	5.82	1.52	2.6	0.21	0.28	0.54	47.76	12.8	3.34	8.42	3.5	1.52	3.3	0.21	5.6	0.54	38.0	16.13	56.0	3.35	95.0	9.07	-15.64	12.8	-60.06	8.42	-0.24	0.22	-0.96	0.15
