Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
55.0	0.0	24053.0	0.0	411.0	0.0	12859.0	0.0	502.0	0.0	9.9	0.0	6.5	0.0	65.7	0.0	55.0	0.0	23768.8	186.16	11457.8	122.38	12474.4	36.8	274.6	14.33	304.8	25.78	22.6	20.14	6.52	0.37	3.5	0.27	0.3	0.24	54.0	6.55	4.44	3.75	3.4	0.37	3.0	0.27	6.2	0.24	34.0	3.66	46.0	4.03	95.0	3.93	-11.7	6.55	-61.26	3.75	-0.18	0.12	-0.94	0.05
5.0	0.0	24057.0	0.0	211.8	0.4	684.0	0.0	1504.0	0.0	5.1	0.0	1.0	0.0	19.6	0.0	5.0	0.0	23971.4	135.2	-320.8	106.5	555.8	93.82	68.4	54.75	230.0	62.09	-151.8	34.07	1.64	1.31	-0.08	0.04	-0.08	0.04	-11.92	12.12	-12.48	11.73	3.5	1.31	1.1	0.04	1.1	0.04	69.0	25.46	110.0	4.0	110.0	4.0	-31.52	12.12	-32.08	11.73	-1.62	0.62	-1.66	0.6
10.0	0.0	24054.0	0.0	282.0	0.0	1882.2	0.4	1504.0	0.0	6.8	0.0	2.8	0.0	41.2	0.0	10.0	0.0	23660.8	211.96	555.2	53.64	1615.8	89.2	162.6	59.25	1181.8	23.98	-152.0	28.87	3.82	1.37	0.66	0.08	-0.24	0.05	19.24	5.76	-6.88	1.91	3.0	1.37	2.1	0.08	3.0	0.05	44.0	20.16	75.0	3.2	107.0	1.96	-21.96	5.76	-48.08	1.91	-0.54	0.15	-1.18	0.04
15.0	0.0	24052.8	0.4	354.0	0.0	3078.0	0.0	1504.0	0.0	8.5	0.0	4.6	0.0	54.1	0.0	15.0	0.0	23795.6	132.25	1754.6	152.75	2832.2	61.03	272.4	51.71	1210.0	27.36	-126.4	24.5	6.5	1.2	2.14	0.22	-0.36	0.08	33.72	5.64	-5.7	1.39	2.0	1.2	2.5	0.22	5.0	0.08	24.0	14.09	54.0	4.96	109.0	1.6	-20.38	5.64	-59.8	1.39	-0.38	0.12	-1.1	0.0
20.0	0.0	24053.4	0.49	427.0	0.0	4274.0	0.0	1504.0	0.0	10.3	0.0	6.4	0.0	62.1	0.0	20.0	0.0	23606.8	251.31	2944.6	101.24	4086.4	62.4	304.4	16.41	1225.0	36.13	-92.4	49.36	7.2	0.41	3.62	0.21	-0.38	0.19	50.46	4.18	-5.16	2.39	3.1	0.41	2.8	0.21	6.8	0.19	30.0	4.15	44.0	3.14	106.0	2.9	-11.64	4.18	-67.26	2.39	-0.18	0.07	-1.08	0.04
25.0	0.0	24053.8	0.4	501.6	0.49	5471.0	0.0	1504.0	0.0	12.1	0.0	8.2	0.0	67.8	0.0	25.0	0.0	23701.2	95.46	4226.8	18.4	5164.6	134.91	442.0	33.51	1247.8	49.54	-81.8	23.05	10.48	0.74	5.28	0.22	-0.44	0.1	50.8	5.63	-4.2	0.96	1.6	0.74	2.9	0.22	8.6	0.1	13.0	6.12	35.0	2.65	105.0	1.02	-17.0	5.63	-72.0	0.96	-0.24	0.1	-1.08	0.04
30.0	0.0	24053.0	0.0	576.0	0.0	6667.2	0.4	1504.0	0.0	13.9	0.0	10.0	0.0	71.9	0.0	30.0	0.0	23660.6	232.13	5333.4	79.56	6418.0	29.09	476.4	75.32	1230.4	38.91	-40.0	39.74	11.28	1.84	6.56	0.14	-0.28	0.25	60.02	11.68	-2.58	2.19	2.6	1.84	3.4	0.14	10.3	0.25	19.0	13.06	34.0	1.36	103.0	2.48	-11.88	11.68	-74.48	2.19	-0.18	0.15	-1.06	0.05
35.0	0.0	24051.0	0.0	651.0	0.0	7864.0	0.0	1504.0	0.0	15.7	0.0	11.8	0.0	75.2	0.0	35.0	0.0	23579.8	130.91	6569.4	80.5	7561.4	110.78	553.8	24.6	1255.4	37.7	-50.8	29.27	13.06	0.5	8.24	0.22	-0.38	0.22	63.18	2.8	-2.92	1.76	2.6	0.5	3.6	0.22	12.2	0.22	17.0	3.16	31.0	1.83	103.0	1.85	-12.02	2.8	-78.12	1.76	-0.16	0.05	-1.02	0.04
40.0	0.0	24053.0	0.0	726.0	0.0	9061.2	0.4	1504.0	0.0	17.5	0.0	13.6	0.0	77.7	0.0	40.0	0.0	23580.0	202.05	7704.0	84.67	8769.0	41.14	595.0	39.78	1272.8	37.71	-49.6	43.88	14.0	1.02	9.82	0.32	-0.42	0.38	70.42	4.15	-2.98	2.66	3.5	1.02	3.8	0.32	14.0	0.38	20.0	5.97	28.0	2.58	103.0	3.03	-7.28	4.15	-80.68	2.66	-0.08	0.07	-1.04	0.05
45.0	0.0	24054.0	0.0	801.0	0.0	10260.0	0.0	1504.0	0.0	19.3	0.0	15.4	0.0	79.8	0.0	45.0	0.0	23755.2	116.04	8865.8	75.14	10031.6	69.19	683.2	26.32	1295.6	36.56	-24.2	32.27	16.24	0.67	11.46	0.35	-0.24	0.31	70.7	3.53	-1.48	1.92	3.1	0.67	3.9	0.35	15.6	0.31	16.0	3.49	25.0	2.42	101.0	2.14	-9.1	3.53	-81.28	1.92	-0.14	0.05	-1.02	0.04
50.0	0.0	24048.0	0.0	875.0	0.0	11456.0	0.0	1504.0	0.0	21.0	0.0	17.2	0.0	81.9	0.0	50.0	0.0	23552.8	223.51	10166.6	62.4	11202.4	141.16	729.4	33.21	1274.8	21.55	-21.0	30.06	17.16	0.69	12.96	0.17	-0.26	0.35	75.66	3.76	-1.54	2.0	3.8	0.69	4.2	0.17	17.5	0.35	18.0	3.43	24.0	0.98	102.0	2.33	-6.24	3.76	-83.44	2.0	-0.08	0.04	-1.02	0.04
55.0	0.0	24048.0	0.0	949.0	0.0	12655.2	0.4	1504.0	0.0	22.8	0.0	19.0	0.0	83.3	0.0	55.0	0.0	23741.8	151.59	11301.2	53.64	12465.2	73.6	834.2	64.37	1309.6	39.04	-23.2	43.82	19.82	1.51	14.8	0.47	-0.3	0.54	75.22	7.61	-1.46	2.66	3.0	1.51	4.2	0.47	19.3	0.54	13.0	6.52	22.0	2.56	102.0	3.07	-8.08	7.61	-84.76	2.66	-0.08	0.1	-1.02	0.04
5.0	0.0	24057.0	0.0	238.0	0.0	592.8	0.4	2207.8	0.4	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23903.8	165.59	-855.6	55.47	482.2	34.42	125.4	82.91	1233.8	35.54	-165.6	63.98	3.0	1.98	-1.06	0.08	-0.08	0.04	48.2	159.66	4.7	14.4	2.7	1.98	2.4	0.08	1.4	0.04	47.0	34.73	185.0	6.05	108.0	3.2	25.4	159.66	-18.1	14.4	1.12	7.01	-0.78	0.64
10.0	0.0	24052.0	0.0	370.0	0.0	1761.4	0.49	2507.0	0.0	8.9	0.0	4.4	0.0	49.4	0.0	10.0	0.0	23768.8	42.69	279.0	45.32	1569.8	53.64	240.8	36.0	2182.2	50.05	-189.2	40.57	5.74	0.85	0.62	0.1	-0.3	0.09	10.94	1.73	-5.5	2.2	3.2	0.85	3.8	0.1	4.7	0.09	36.0	9.54	86.0	2.23	107.0	1.79	-38.46	1.73	-54.9	2.2	-0.76	0.05	-1.12	0.04
15.0	0.0	24054.0	0.0	492.0	0.0	2959.4	0.49	2507.0	0.0	11.8	0.0	7.4	0.0	62.7	0.0	15.0	0.0	23647.2	99.18	1726.6	55.2	2731.0	29.09	414.2	27.19	2250.8	21.35	-175.2	20.31	9.8	0.61	3.88	0.15	-0.5	0.06	39.72	2.1	-5.12	0.74	2.0	0.61	3.5	0.15	7.9	0.06	17.0	5.48	47.0	1.94	107.0	0.98	-22.98	2.1	-67.82	0.74	-0.36	0.05	-1.1	0.0
20.0	0.0	24054.6	0.49	615.4	0.49	4156.0	0.0	2507.0	0.0	14.8	0.0	10.4	0.0	70.3	0.0	20.0	0.0	23660.8	173.89	2833.8	111.53	4031.2	73.6	517.8	42.73	2215.8	28.01	-136.0	24.29	12.24	1.07	6.26	0.19	-0.54	0.1	51.54	4.83	-4.44	0.86	2.6	1.07	4.1	0.19	10.9	0.1	18.0	7.14	39.0	1.5	105.0	1.02	-18.76	4.83	-74.74	0.86	-0.28	0.07	-1.08	0.04
25.0	0.0	24054.0	0.0	740.0	0.0	5353.6	0.49	2507.0	0.0	17.8	0.0	13.4	0.0	75.3	0.0	25.0	0.0	23579.6	66.01	4051.2	154.18	5164.8	98.23	609.2	51.21	2232.0	30.71	-104.0	58.9	14.38	1.21	9.04	0.39	-0.52	0.32	63.14	3.46	-3.56	2.06	3.4	1.21	4.4	0.39	13.9	0.32	19.0	6.9	33.0	2.87	104.0	2.42	-12.16	3.46	-78.86	2.06	-0.16	0.05	-1.04	0.05
30.0	0.0	24048.0	0.0	864.0	0.0	6548.0	0.0	2507.0	0.0	20.8	0.0	16.4	0.0	78.8	0.0	30.0	0.0	23593.2	138.95	5315.0	55.67	6436.4	46.91	768.4	34.39	2223.4	21.69	-92.0	59.22	18.14	0.86	11.8	0.13	-0.6	0.36	65.22	3.61	-3.28	1.9	2.7	0.86	4.6	0.13	17.0	0.36	13.0	4.02	28.0	0.98	104.0	2.24	-13.58	3.61	-82.08	1.9	-0.18	0.04	-1.04	0.05
35.0	0.0	24051.0	0.0	989.0	0.0	7745.2	0.4	2507.0	0.0	23.8	0.0	19.4	0.0	81.5	0.0	35.0	0.0	23728.2	138.95	6504.6	79.56	7542.8	111.59	850.2	77.12	2233.0	15.54	-73.2	34.12	20.16	1.76	14.54	0.19	-0.56	0.27	72.64	6.25	-2.86	1.45	3.6	1.76	4.9	0.19	20.0	0.27	15.0	7.55	25.0	0.89	103.0	1.41	-8.86	6.25	-84.36	1.45	-0.1	0.06	-1.04	0.05
40.0	0.0	24050.8	0.4	1114.0	0.0	8941.0	0.0	2507.0	0.0	26.8	0.0	22.4	0.0	83.6	0.0	40.0	0.0	23620.4	172.92	7666.8	95.13	8870.2	34.42	984.2	16.98	2302.6	60.12	-69.0	17.11	23.24	0.46	17.66	0.59	-0.62	0.12	76.0	2.05	-2.7	0.53	3.6	0.46	4.7	0.59	23.0	0.12	13.0	1.94	21.0	2.71	103.0	0.75	-7.6	2.05	-86.3	0.53	-0.1	0.0	-1.0	0.0
45.0	0.0	24052.0	0.0	1238.0	0.0	10139.0	0.0	2507.0	0.0	29.8	0.0	25.4	0.0	85.2	0.0	45.0	0.0	23593.2	151.59	8866.0	111.56	10031.4	62.4	1122.2	32.62	2287.4	32.71	-78.6	40.14	26.48	0.76	20.3	0.48	-0.8	0.39	76.74	3.31	-3.04	1.51	3.3	0.76	5.1	0.48	26.2	0.39	11.0	2.76	20.0	1.9	103.0	1.62	-8.46	3.31	-88.24	1.51	-0.1	0.06	-1.04	0.05
50.0	0.0	24053.2	0.4	1362.0	0.0	11336.8	0.4	2507.0	0.0	32.8	0.0	28.4	0.0	86.6	0.0	50.0	0.0	23566.2	213.33	10083.6	118.11	11110.2	94.16	1194.0	58.02	2271.2	26.99	-36.2	36.91	28.14	1.37	22.92	0.36	-0.4	0.41	81.72	5.14	-1.46	1.57	4.7	1.37	5.5	0.36	28.8	0.41	14.0	4.02	19.0	1.2	101.0	1.62	-4.88	5.14	-88.06	1.57	-0.06	0.08	-1.0	0.0
55.0	0.0	24050.0	0.0	1487.0	0.0	12533.0	0.0	2507.0	0.0	35.8	0.0	31.4	0.0	87.7	0.0	55.0	0.0	23687.8	223.39	11264.0	115.37	12345.6	74.74	1348.4	95.15	2305.0	26.97	-60.6	61.21	31.94	2.19	25.94	0.43	-0.72	0.75	81.62	6.01	-2.3	2.42	3.9	2.19	5.5	0.43	32.1	0.75	11.0	6.2	18.0	1.47	102.0	2.58	-6.08	6.01	-90.0	2.42	-0.08	0.07	-1.02	0.04
5.0	0.0	24057.0	0.0	238.0	0.0	592.8	0.4	2201.6	0.8	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23687.8	215.14	-800.2	61.03	454.4	90.41	163.4	35.95	1867.0	60.72	-169.0	21.57	3.86	0.87	-1.5	0.11	-0.08	0.04	-40.52	7.61	-1.96	1.04	1.8	0.87	2.8	0.11	1.4	0.04	32.0	15.19	215.0	8.4	108.0	3.2	-63.32	7.61	-24.76	1.04	-2.76	0.34	-1.08	0.04
10.0	0.0	24054.0	0.0	458.0	0.0	1665.0	0.0	3510.0	0.0	11.0	0.0	5.8	0.0	52.7	0.0	10.0	0.0	23512.0	137.67	361.8	181.99	1542.2	79.14	355.0	41.11	3194.8	23.01	-258.0	40.13	8.34	0.99	1.18	0.59	-0.4	0.06	14.9	8.98	-4.86	0.87	2.7	0.99	4.6	0.59	6.2	0.06	25.0	8.86	79.0	10.05	107.0	1.26	-37.8	8.98	-57.56	0.87	-0.7	0.17	-1.1	0.0
15.0	0.0	24053.4	0.49	630.0	0.0	2862.0	0.0	3510.0	0.0	15.2	0.0	10.0	0.0	65.8	0.0	15.0	0.0	23539.4	189.06	1588.4	107.6	2813.8	93.82	514.8	50.44	3191.6	36.71	-197.4	36.47	12.1	1.16	5.1	0.36	-0.56	0.12	42.72	6.6	-4.78	1.62	3.1	1.16	4.9	0.36	10.6	0.12	20.0	7.5	49.0	3.63	106.0	1.2	-23.08	6.6	-70.58	1.62	-0.36	0.1	-1.1	0.0
20.0	0.0	24053.8	0.4	803.0	0.0	4058.0	0.0	3510.0	0.0	19.3	0.0	14.2	0.0	73.6	0.0	20.0	0.0	23579.8	130.91	2815.6	149.95	4058.6	118.11	689.2	54.84	3196.8	26.94	-128.4	37.93	16.26	1.34	8.98	0.42	-0.52	0.18	55.58	5.03	-3.22	1.13	3.0	1.34	5.2	0.42	14.7	0.18	16.0	6.79	37.0	2.99	104.0	1.36	-18.02	5.03	-76.82	1.13	-0.24	0.08	-1.06	0.05
25.0	0.0	24049.4	0.49	977.0	0.0	5253.0	0.0	3510.0	0.0	23.5	0.0	18.4	0.0	78.3	0.0	25.0	0.0	23606.8	184.09	4023.4	36.8	5192.4	36.8	840.4	47.12	3226.2	46.26	-136.8	40.91	19.82	1.21	12.98	0.25	-0.7	0.2	65.78	4.74	-3.54	0.97	3.7	1.21	5.4	0.25	19.1	0.2	16.0	5.24	29.0	1.36	104.0	1.02	-12.52	4.74	-81.84	0.97	-0.16	0.05	-1.02	0.04
30.0	0.0	24050.0	0.0	1151.0	0.0	6448.0	0.0	3510.0	0.0	27.7	0.0	22.6	0.0	81.6	0.0	30.0	0.0	23593.2	138.95	5176.4	94.72	6372.0	41.14	1032.0	42.35	3239.4	38.02	-99.8	52.28	24.36	0.92	16.76	0.4	-0.62	0.32	68.86	2.19	-2.58	1.33	3.3	0.92	5.8	0.4	23.2	0.32	12.0	3.46	26.0	1.85	103.0	1.55	-12.74	2.19	-84.18	1.33	-0.16	0.05	-1.0	0.0
35.0	0.0	24054.0	0.0	1326.0	0.0	7645.0	0.0	3510.0	0.0	31.9	0.0	26.8	0.0	84.0	0.0	35.0	0.0	23552.8	246.6	6292.6	36.8	7561.2	125.27	1173.0	55.4	3271.6	47.61	-96.8	49.32	27.62	1.48	20.58	0.31	-0.74	0.38	74.7	3.65	-2.68	1.33	4.3	1.48	6.2	0.31	27.5	0.38	13.0	4.8	23.0	1.17	103.0	1.36	-9.3	3.65	-86.68	1.33	-0.14	0.05	-1.0	0.0
40.0	0.0	24048.0	0.0	1500.0	0.0	8837.0	0.0	3510.0	0.0	36.1	0.0	31.0	0.0	85.9	0.0	40.0	0.0	23687.6	150.47	7537.8	141.68	8805.8	110.4	1360.2	59.71	3302.0	35.31	-75.4	42.39	32.2	1.44	24.9	0.51	-0.66	0.37	77.5	3.93	-2.1	1.26	3.9	1.44	6.1	0.51	31.7	0.37	11.0	4.07	20.0	1.85	102.0	1.26	-8.4	3.93	-88.0	1.26	-0.1	0.06	-1.0	0.0
45.0	0.0	24050.2	0.4	1674.6	0.49	10033.0	0.0	3510.0	0.0	40.3	0.0	35.2	0.0	87.3	0.0	45.0	0.0	23552.8	177.91	8856.6	34.85	9902.6	46.91	1537.8	27.78	3292.2	37.76	-72.0	20.13	36.24	0.73	29.16	0.24	-0.7	0.19	80.46	1.03	-1.94	0.56	4.1	0.73	6.0	0.24	35.9	0.19	10.0	1.9	17.0	0.75	102.0	0.75	-6.84	1.03	-89.24	0.56	-0.1	0.0	-1.0	0.0
50.0	0.0	24053.0	0.0	1848.4	0.49	11230.0	0.0	3510.0	0.0	44.44	0.05	39.4	0.0	88.62	0.1	50.0	0.0	23633.6	147.98	10046.6	65.48	11175.0	54.02	1657.6	42.69	3261.0	80.82	-77.4	36.0	39.16	1.02	32.76	0.72	-0.86	0.4	83.72	2.73	-2.2	1.07	5.3	1.06	6.6	0.72	40.3	0.4	12.0	2.32	17.0	1.94	102.0	1.17	-4.9	2.78	-90.82	1.05	-0.06	0.05	-1.0	0.0
55.0	0.0	24049.0	0.0	2022.2	0.4	12425.0	0.0	3510.0	0.0	48.62	0.04	43.6	0.0	89.66	0.08	55.0	0.0	23701.4	200.24	11181.2	111.59	12400.8	106.5	1851.0	42.57	3294.4	46.74	-73.4	18.03	43.88	1.25	36.84	0.64	-0.9	0.2	84.02	2.79	-2.06	0.46	4.7	1.25	6.8	0.64	44.5	0.2	10.0	2.42	16.0	1.5	102.0	0.63	-5.64	2.82	-91.72	0.49	-0.06	0.05	-1.0	0.0
5.0	0.0	24056.6	0.49	238.0	0.0	592.8	0.4	2193.0	0.89	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23593.4	207.34	-883.4	167.51	472.8	65.34	166.6	31.41	1864.8	90.07	-206.0	53.67	3.94	0.76	-1.62	0.23	-0.12	0.04	-41.62	4.66	-3.16	1.18	1.8	0.76	2.9	0.23	1.4	0.04	32.0	13.38	223.0	17.92	108.0	2.8	-64.42	4.66	-25.96	1.18	-2.82	0.19	-1.12	0.04
10.0	0.0	24053.0	0.0	545.0	0.0	1575.2	0.4	4513.0	0.0	13.1	0.0	7.1	0.0	54.2	0.0	10.0	0.0	23525.6	232.25	352.6	173.46	1588.2	102.45	485.0	49.51	4186.4	31.72	-276.2	49.6	11.4	1.13	1.48	0.72	-0.42	0.07	12.84	6.0	-3.76	0.9	1.7	1.13	5.6	0.72	7.5	0.07	13.0	8.52	79.0	9.99	106.0	1.1	-41.36	6.0	-57.96	0.9	-0.8	0.11	-1.08	0.04
15.0	0.0	24055.0	0.0	767.0	0.0	2771.0	0.0	4513.0	0.0	18.5	0.0	12.5	0.0	67.6	0.0	15.0	0.0	23552.8	188.09	1413.4	144.13	2841.4	68.85	635.2	42.39	4176.6	28.97	-215.4	22.64	14.94	0.98	5.92	0.62	-0.64	0.05	39.68	3.63	-4.3	0.36	3.6	0.98	6.6	0.62	13.1	0.05	19.0	5.53	53.0	4.96	105.0	0.49	-27.92	3.63	-71.9	0.36	-0.44	0.05	-1.1	0.0
