Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	24056	172	987	502	4.1	0.5	12.2	5.0	23769.0	-607.0	565.0	136.0	179.0	-158.0	3.2	-0.1	-0.1	-3.1	-3.1	0.9	0.6	0.6	22.0	120.0	120.0	-15.3	-15.3	-1.3	-1.3
5	24056	172	987	502	4.1	0.5	12.2	5.0	23701.0	-192.0	565.0	4.0	152.0	-142.0	0.1	-0.0	-0.1	-0.0	-100.0	4.0	0.5	0.6	98.0	100.0	120.0	-12.2	-112.2	-1.0	-9.2
5	24056	172	987	502	4.1	0.5	12.2	5.0	23971.0	-468.0	519.0	51.0	287.0	-179.0	1.2	-0.1	-0.1	-8.3	-8.3	2.9	0.6	0.6	71.0	120.0	120.0	-20.5	-20.5	-1.7	-1.7
5	24056	172	987	502	4.1	0.5	12.2	5.0	24039.0	-330.0	473.0	162.0	211.0	-158.0	3.9	-0.1	-0.1	-2.6	-2.6	0.2	0.6	0.6	5.0	120.0	120.0	-14.8	-14.8	-1.2	-1.2
5	24056	172	987	502	4.1	0.5	12.2	5.0	23566.0	-330.0	519.0	141.0	195.0	-201.0	3.3	-0.1	-0.1	-3.0	-3.0	0.8	0.6	0.6	20.0	120.0	120.0	-15.2	-15.2	-1.2	-1.2
10	24057	192	2146	502	4.6	1.1	23.9	10.0	23904.0	777.0	1579.0	83.0	201.0	-158.0	2.0	0.2	-0.2	10.0	-10.0	2.6	0.9	1.3	57.0	82.0	118.0	-13.9	-33.9	-0.6	-1.4
10	24057	192	2146	502	4.6	1.1	23.9	10.0	23431.0	823.0	1717.0	72.0	222.0	-185.0	1.7	0.2	-0.3	11.8	-17.6	2.9	0.9	1.4	63.0	82.0	127.0	-12.1	-41.5	-0.5	-1.7
10	24057	192	2146	502	4.6	1.1	23.9	10.0	23701.0	961.0	1533.0	152.0	201.0	-94.0	3.6	0.2	-0.1	5.6	-2.8	1.0	0.9	1.2	22.0	82.0	109.0	-18.3	-26.7	-0.8	-1.1
10	24057	192	2146	502	4.6	1.1	23.9	10.0	23499.0	823.0	1671.0	57.0	114.0	-169.0	1.3	0.1	-0.3	7.7	-23.1	3.3	1.0	1.4	72.0	91.0	127.0	-16.2	-47.0	-0.7	-2.0
10	24057	192	2146	502	4.6	1.1	23.9	10.0	23566.0	777.0	1533.0	83.0	157.0	-206.0	2.0	0.1	-0.3	5.0	-15.0	2.6	1.0	1.4	57.0	91.0	127.0	-18.9	-38.9	-0.8	-1.6
15	24057	213	3318	502	5.1	1.7	33.3	15.0	23701.0	2206.0	2777.0	199.0	162.0	-9.0	4.7	0.4	-0.0	8.5	-0.0	0.4	1.3	1.7	8.0	76.0	100.0	-24.8	-33.3	-0.7	-1.0
15	24058	213	3318	502	5.1	1.7	33.3	15.0	23904.0	2114.0	2869.0	67.0	184.0	-78.0	1.6	0.4	-0.2	25.0	-12.5	3.5	1.3	1.9	69.0	76.0	112.0	-8.3	-45.8	-0.2	-1.4
15	24057	213	3318	502	5.1	1.7	33.3	15.0	23701.0	2068.0	2823.0	136.0	195.0	-68.0	3.2	0.4	-0.2	12.5	-6.2	1.9	1.3	1.9	37.0	76.0	112.0	-20.8	-39.5	-0.6	-1.2
15	24057	213	3317	502	5.1	1.7	33.3	15.0	23566.0	2206.0	2915.0	104.0	130.0	-116.0	2.5	0.3	-0.3	12.0	-12.0	2.6	1.4	2.0	51.0	82.0	118.0	-21.3	-45.3	-0.6	-1.4
15	24058	213	3318	502	5.1	1.7	33.3	15.0	23499.0	2253.0	2915.0	194.0	157.0	-126.0	4.6	0.4	-0.4	8.7	-8.7	0.5	1.3	2.1	10.0	76.0	124.0	-24.6	-42.0	-0.7	-1.3
20	24057	237	4497	502	5.7	2.3	40.4	20.0	23971.0	3267.0	4252.0	189.0	173.0	-89.0	4.5	0.6	-0.4	13.3	-8.9	1.2	1.7	2.7	21.0	74.0	117.0	-27.1	-49.3	-0.7	-1.2
20	24057	237	4497	502	5.7	2.3	40.4	20.0	23566.0	3083.0	4160.0	199.0	168.0	-68.0	4.7	0.5	-0.3	10.6	-6.4	1.0	1.8	2.6	18.0	78.0	113.0	-29.8	-46.8	-0.7	-1.2
