Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
10	48015	314	3782	2508	15.1	9.5	62.9	10.0	47268.0	2483.0	4529.0	247.0	2102.0	-339.0	11.7	5.2	-1.5	44.4	-12.8	3.4	4.3	11.0	23.0	45.0	116.0	-18.5	-75.7	-0.3	-1.2
10	48015	314	3782	2508	15.1	9.5	62.9	10.0	47133.0	2529.0	4436.0	242.0	2107.0	-286.0	11.4	5.3	-1.3	46.5	-11.4	3.7	4.2	10.8	25.0	44.0	114.0	-16.4	-74.3	-0.3	-1.2
10	48015	314	3782	2508	15.1	9.5	62.9	10.0	47538.0	2575.0	4483.0	284.0	2151.0	-344.0	13.5	5.5	-1.5	40.7	-11.1	1.6	4.0	11.0	11.0	42.0	116.0	-22.2	-74.0	-0.4	-1.2
10	48015	314	3782	2508	15.1	9.5	62.9	10.0	47201.0	2575.0	4667.0	199.0	2058.0	-318.0	9.4	5.3	-1.5	56.4	-16.0	5.7	4.2	11.0	38.0	44.0	116.0	-6.5	-78.9	-0.1	-1.3
10	48015	314	3782	2508	15.1	9.5	62.9	10.0	47538.0	2345.0	4621.0	226.0	2118.0	-312.0	10.7	5.0	-1.4	46.7	-13.1	4.4	4.5	10.9	29.0	47.0	115.0	-16.2	-76.0	-0.3	-1.2
15	48015	436	6170	2508	20.9	15.5	74.2	15.0	47066.0	4835.0	6971.0	422.0	2004.0	-158.0	19.9	9.7	-1.1	48.7	-5.5	1.0	5.8	16.6	5.0	37.0	107.0	-25.5	-79.7	-0.3	-1.1
15	48015	436	6170	2508	20.9	15.5	74.2	15.0	47201.0	4835.0	7110.0	284.0	2118.0	-211.0	13.4	10.2	-1.5	76.1	-11.2	7.5	5.3	17.0	36.0	34.0	110.0	1.9	-85.4	0.0	-1.2
15	48015	436	6170	2508	20.9	15.5	74.2	15.0	47336.0	4881.0	7064.0	358.0	2037.0	-148.0	16.9	9.9	-1.0	58.6	-5.9	4.0	5.6	16.5	19.0	36.0	106.0	-15.6	-80.1	-0.2	-1.1
15	48015	436	6169	2508	20.9	15.5	74.2	15.0	47201.0	4974.0	7064.0	289.0	2167.0	-174.0	13.6	10.8	-1.2	79.4	-8.8	7.3	4.7	16.7	35.0	30.0	108.0	5.2	-83.0	0.1	-1.1
15	48015	436	6170	2508	20.9	15.5	74.2	15.0	47471.0	5020.0	7110.0	358.0	2145.0	-206.0	17.0	10.8	-1.5	63.5	-8.8	3.9	4.7	17.0	19.0	30.0	110.0	-10.7	-83.0	-0.1	-1.1
20	48015	560	8557	2508	26.9	21.5	79.9	20.0	47471.0	7372.0	9368.0	438.0	2129.0	-116.0	20.8	15.7	-1.1	75.5	-5.3	6.1	5.8	22.6	23.0	27.0	105.0	-4.4	-85.2	-0.1	-1.1
20	48015	560	8556	2508	26.9	21.5	79.9	20.0	46931.0	7418.0	9552.0	379.0	2134.0	-195.0	17.8	15.8	-1.9	88.8	-10.7	9.1	5.7	23.4	34.0	27.0	109.0	8.9	-90.6	0.1	-1.1
20	48015	560	8557	2508	26.9	21.5	79.9	20.0	47403.0	7095.0	9645.0	432.0	2134.0	-148.0	20.5	15.1	-1.4	73.7	-6.8	6.4	6.4	22.9	24.0	30.0	107.0	-6.2	-86.7	-0.1	-1.1
20	48015	560	8557	2508	26.9	21.5	79.9	20.0	47336.0	7372.0	9138.0	459.0	2161.0	-254.0	21.7	15.9	-2.3	73.3	-10.6	5.2	5.6	23.8	19.0	26.0	111.0	-6.6	-90.5	-0.1	-1.1
20	48015	560	8557	2508	26.9	21.5	79.9	20.0	47471.0	7418.0	9598.0	490.0	2118.0	-174.0	23.3	15.7	-1.7	67.4	-7.3	3.6	5.8	23.2	13.0	27.0	108.0	-12.5	-87.2	-0.2	-1.1
25	48018	686	10947	2508	32.9	27.5	83.6	25.0	47066.0	9908.0	12087.0	628.0	2118.0	-52.0	29.6	21.0	-0.6	70.9	-2.0	3.3	6.5	28.1	10.0	24.0	102.0	-12.7	-85.6	-0.2	-1.0
