Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	30039	647	2653	4517	19.4	12.0	61.9	5.0	29931.0	2839.0	-90878.0	725.0	4349.0	244.0	21.7	12.3	-22.2	56.7	-102.3	-2.3	-0.3	34.2	-12.0	-2.0	285.0	-5.2	-164.2	-0.1	-2.7
5	30039	647	2653	4517	19.4	12.0	61.9	5.0	30136.0	2792.0	-90833.0	697.0	4430.0	290.0	21.0	12.4	-26.3	59.0	-125.2	-1.6	-0.4	38.3	-8.0	-3.0	319.0	-2.9	-187.1	-0.0	-3.0
10	30039	647	2653	4517	19.4	12.0	61.9	10.0	30204.0	2700.0	-90878.0	817.0	5550.0	230.0	24.7	15.0	-20.9	60.7	-84.6	-5.3	-3.0	32.9	-27.0	-25.0	274.0	-1.2	-146.5	-0.0	-2.4
10	30039	647	2652	4517	19.4	12.0	61.9	10.0	30340.0	2792.0	-90923.0	805.0	5539.0	169.0	24.4	15.5	-15.4	63.5	-63.1	-5.0	-3.5	27.4	-26.0	-29.0	228.0	1.6	-125.0	0.0	-2.0
15	30036	870	4146	4517	26.1	18.7	71.6	15.0	30408.0	4090.0	-90878.0	1052.0	5614.0	197.0	32.0	23.0	-17.9	71.9	-55.9	-5.9	-4.3	36.6	-23.0	-23.0	196.0	0.3	-127.5	0.0	-1.8
15	30036	870	4146	4517	26.1	18.7	71.6	15.0	29999.0	4276.0	-90878.0	1017.0	5507.0	262.0	30.5	23.5	-23.8	77.0	-78.0	-4.4	-4.8	42.5	-17.0	-26.0	227.0	5.4	-149.6	0.1	-2.1
5	30036	753	2552	5521	22.6	14.1	62.4	5.0	30272.0	2700.0	-90878.0	828.0	5593.0	234.0	25.1	15.1	-21.3	60.2	-84.9	-2.5	-1.0	35.4	-11.0	-7.0	251.0	-2.2	-147.3	-0.0	-2.4
5	30035	753	2552	5521	22.6	14.1	62.4	5.0	30340.0	2700.0	-90878.0	805.0	5513.0	183.0	24.4	14.9	-16.6	61.1	-68.0	-1.8	-0.8	30.7	-8.0	-6.0	218.0	-1.3	-130.4	-0.0	-2.1
10	30035	753	2551	5521	22.6	14.1	62.4	10.0	30204.0	2700.0	-90923.0	983.0	6692.0	220.0	29.7	18.1	-20.0	60.9	-67.3	-7.1	-4.0	34.1	-31.0	-28.0	242.0	-1.5	-129.7	-0.0	-2.1
10	30035	753	2550	5521	22.6	14.1	62.4	10.0	29931.0	2653.0	-90923.0	903.0	6719.0	132.0	27.0	17.8	-12.0	65.9	-44.4	-4.4	-3.7	26.1	-19.0	-26.0	185.0	3.5	-106.8	0.1	-1.7
15	30038	1026	4043	5521	30.8	22.3	72.4	15.0	30204.0	4090.0	-90878.0	1246.0	6703.0	165.0	37.6	27.4	-15.0	72.9	-39.9	-6.8	-5.1	37.3	-22.0	-23.0	167.0	0.5	-112.3	0.0	-1.6
15	30038	1026	4043	5521	30.8	22.3	72.4	15.0	29999.0	4508.0	-90878.0	1241.0	6553.0	169.0	37.2	29.5	-15.4	79.3	-41.4	-6.4	-7.2	37.7	-21.0	-32.0	169.0	6.9	-113.8	0.1	-1.6
