Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	30041	219	3298	503	6.6	1.7	25.8	5.0	30408.0	3163.0	-90833.0	370.0	956.0	304.0	11.3	3.0	-27.6	26.5	-244.2	-4.7	-1.3	29.3	-71.0	-76.0	1724.0	0.7	-270.0	0.0	-10.5
5	30041	219	3298	503	6.6	1.7	25.8	5.0	30067.0	3070.0	-90833.0	342.0	865.0	276.0	10.3	2.7	-25.1	26.2	-243.7	-3.7	-1.0	26.8	-56.0	-59.0	1576.0	0.4	-269.5	0.0	-10.4
10	30040	219	3298	503	6.6	1.7	25.8	10.0	30340.0	3117.0	-90878.0	336.0	918.0	290.0	10.2	2.9	-26.4	28.4	-258.8	-3.6	-1.2	28.1	-55.0	-71.0	1653.0	2.6	-284.6	0.1	-11.0
10	30040	219	3298	503	6.6	1.7	25.8	10.0	30204.0	3302.0	-90923.0	353.0	956.0	327.0	10.7	3.2	-29.7	29.9	-277.6	-4.1	-1.5	31.4	-62.0	-88.0	1847.0	4.1	-303.4	0.2	-11.8
15	30040	242	4769	503	7.3	2.4	32.9	15.0	30408.0	4832.0	-90833.0	342.0	907.0	290.0	10.4	4.4	-26.3	42.3	-252.9	-3.1	-2.0	28.7	-42.0	-83.0	1196.0	9.4	-285.8	0.3	-8.7
15	30040	242	4769	503	7.3	2.4	32.9	15.0	30272.0	4693.0	-90878.0	433.0	790.0	341.0	13.1	3.7	-31.0	28.2	-236.6	-5.8	-1.3	33.4	-79.0	-54.0	1392.0	-4.7	-269.5	-0.1	-8.2
5	30039	328	3009	1506	9.9	4.5	45.5	5.0	30204.0	3256.0	-90878.0	347.0	934.0	300.0	10.5	3.0	-27.3	28.6	-260.0	-0.6	1.5	31.8	-6.0	33.0	707.0	-16.9	-305.5	-0.4	-6.7
5	30039	328	3009	1506	9.9	4.5	45.5	5.0	29931.0	3395.0	-90833.0	353.0	945.0	355.0	10.6	3.2	-32.2	30.2	-303.8	-0.7	1.3	36.7	-7.0	29.0	816.0	-15.3	-349.3	-0.3	-7.7
10	30039	328	3009	1506	9.9	4.5	45.5	10.0	30067.0	3163.0	-90878.0	445.0	2001.0	332.0	13.4	6.3	-30.2	47.0	-225.4	-3.5	-1.8	34.7	-35.0	-40.0	771.0	1.5	-270.9	0.0	-6.0
10	30039	328	3009	1506	9.9	4.5	45.5	10.0	30408.0	2931.0	-90923.0	468.0	2103.0	211.0	14.2	6.2	-19.2	43.7	-135.2	-4.3	-1.7	23.7	-43.0	-38.0	527.0	-1.8	-180.7	-0.0	-4.0
15	30038	401	4500	1506	12.0	6.8	56.7	15.0	30136.0	4508.0	-90923.0	559.0	1996.0	253.0	16.8	9.0	-23.0	53.6	-136.9	-4.8	-2.2	29.8	-40.0	-32.0	438.0	-3.1	-193.6	-0.1	-3.4
15	30038	400	4500	1506	12.0	6.8	56.7	15.0	29931.0	4554.0	-90878.0	496.0	2017.0	267.0	14.8	9.2	-24.3	62.2	-164.2	-2.8	-2.4	31.1	-23.0	-35.0	457.0	5.5	-220.9	0.1	-3.9
5	30038	435	2866	2509	13.1	7.2	55.0	5.0	30067.0	3024.0	-90878.0	433.0	2065.0	318.0	13.0	6.2	-28.9	47.7	-222.3	0.1	1.0	36.1	1.0	14.0	501.0	-7.3	-277.3	-0.1	-5.0
5	30038	435	2866	2510	13.1	7.2	55.0	5.0	30067.0	2839.0	-90878.0	519.0	2006.0	272.0	15.6	5.7	-24.7	36.5	-158.3	-2.5	1.5	31.9	-19.0	21.0	443.0	-18.5	-213.3	-0.3	-3.9
10	30038	435	2867	2509	13.1	7.2	55.0	10.0	30136.0	2931.0	-90878.0	588.0	3164.0	192.0	17.7	9.3	-17.4	52.5	-98.3	-4.6	-2.1	24.6	-35.0	-29.0	342.0	-2.5	-153.3	-0.0	-2.8
10	30038	435	2866	2509	13.1	7.2	55.0	10.0	30340.0	2931.0	-90833.0	576.0	3223.0	211.0	17.5	9.4	-19.2	53.7	-109.7	-4.4	-2.2	26.4	-34.0	-31.0	367.0	-1.3	-164.7	-0.0	-3.0
15	30038	558	4361	2510	16.8	10.9	64.9	15.0	30204.0	4461.0	-90923.0	725.0	3148.0	216.0	21.9	14.0	-19.6	63.9	-89.5	-5.1	-3.1	30.5	-30.0	-28.0	280.0	-1.0	-154.4	-0.0	-2.4
15	30038	558	4361	2510	16.8	10.9	64.9	15.0	30408.0	4508.0	-90923.0	720.0	3154.0	253.0	21.9	14.2	-23.0	64.8	-105.0	-5.1	-3.3	33.9	-30.0	-30.0	311.0	-0.1	-169.9	-0.0	-2.6
5	30038	541	2755	3513	16.3	9.7	59.5	5.0	29931.0	2700.0	-90878.0	611.0	3170.0	179.0	18.3	8.6	-16.3	47.0	-89.1	-2.0	1.1	26.0	-12.0	11.0	268.0	-12.5	-148.6	-0.2	-2.5
5	30038	541	2755	3513	16.3	9.7	59.5	5.0	30272.0	2839.0	-90833.0	622.0	3191.0	234.0	18.8	9.1	-21.3	48.4	-113.3	-2.5	0.6	31.0	-15.0	6.0	320.0	-11.1	-172.8	-0.2	-2.9
10	30038	541	2755	3513	16.3	9.7	59.5	10.0	30067.0	2746.0	-90878.0	714.0	4338.0	300.0	21.5	11.9	-27.3	55.3	-127.0	-5.2	-2.2	37.0	-32.0	-23.0	381.0	-4.2	-186.5	-0.1	-3.1
10	30038	541	2755	3513	16.3	9.7	59.5	10.0	29931.0	2700.0	-90923.0	725.0	4338.0	169.0	21.7	11.7	-15.4	53.9	-71.0	-5.4	-2.0	25.1	-33.0	-21.0	259.0	-5.6	-130.5	-0.1	-2.2
15	30035	714	4249	3513	21.4	14.9	69.6	15.0	29863.0	4415.0	-90878.0	868.0	4333.0	155.0	25.9	19.1	-14.1	73.7	-54.4	-4.5	-4.2	29.0	-21.0	-28.0	195.0	4.1	-124.0	0.1	-1.8
15	30035	714	4249	3513	21.4	14.9	69.6	15.0	30272.0	4368.0	-90833.0	891.0	4392.0	179.0	27.0	19.2	-16.3	71.1	-60.4	-5.6	-4.3	31.2	-26.0	-29.0	209.0	1.5	-130.0	0.0	-1.9
