Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	40057	189	4433	503	7.6	2.2	28.9	5.0	40421.0	3766.0	-90833.0	914.0	6681.0	244.0	36.9	25.2	-22.2	68.3	-60.2	-29.3	-23.0	24.4	-386.0	-1045.0	1109.0	39.4	-89.1	1.4	-3.1
5	40056	189	4433	503	7.6	2.2	28.9	5.0	40216.0	3719.0	-90833.0	891.0	6687.0	216.0	35.8	24.9	-19.6	69.6	-54.7	-28.2	-22.7	21.8	-371.0	-1032.0	991.0	40.7	-83.6	1.4	-2.9
10	40056	189	4433	503	7.6	2.2	28.9	10.0	40353.0	4415.0	-90923.0	319.0	832.0	248.0	12.9	3.7	-22.5	28.7	-174.4	-5.3	-1.5	24.7	-70.0	-68.0	1123.0	-0.2	-203.3	-0.0	-7.0
10	40057	189	4433	503	7.6	2.2	28.9	10.0	40353.0	4554.0	-90878.0	342.0	907.0	281.0	13.8	4.1	-25.5	29.7	-184.8	-6.2	-1.9	27.7	-82.0	-86.0	1259.0	0.8	-213.7	0.0	-7.4
15	40057	211	6390	503	8.5	3.2	37.6	15.0	40557.0	6501.0	-90923.0	342.0	790.0	253.0	13.9	5.1	-23.0	36.7	-165.5	-5.4	-1.9	26.2	-64.0	-59.0	819.0	-0.9	-203.1	-0.0	-5.4
15	40057	211	6390	503	8.5	3.2	37.6	15.0	40284.0	6455.0	-90923.0	336.0	854.0	253.0	13.5	5.5	-23.0	40.7	-170.4	-5.0	-2.3	26.2	-59.0	-72.0	819.0	3.1	-208.0	0.1	-5.5
5	40056	298	4079	1506	11.9	6.1	51.3	5.0	40284.0	4600.0	-90878.0	256.0	940.0	281.0	10.3	4.3	-25.5	41.7	-247.6	1.6	1.8	31.6	13.0	30.0	518.0	-9.6	-298.9	-0.2	-5.8
5	40056	298	4079	1506	11.9	6.1	51.3	5.0	40080.0	4322.0	-90878.0	319.0	897.0	313.0	12.8	3.9	-28.4	30.5	-221.9	-0.9	2.2	34.5	-8.0	36.0	566.0	-20.8	-273.2	-0.4	-5.3
10	40056	298	4079	1506	11.9	6.1	51.3	10.0	40216.0	3998.0	-90878.0	456.0	2049.0	281.0	18.3	8.2	-25.5	44.8	-139.3	-6.4	-2.1	31.6	-54.0	-34.0	518.0	-6.5	-190.6	-0.1	-3.7
10	40057	298	4079	1506	11.9	6.1	51.3	10.0	40353.0	4044.0	-90878.0	399.0	2049.0	258.0	16.1	8.3	-23.4	51.6	-145.3	-4.2	-2.2	29.5	-35.0	-36.0	484.0	0.3	-196.6	0.0	-3.8
