Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	50031.0	0.0	169.0	0.0	5547.0	0.0	503.0	0.0	8.5	0.0	2.8	0.0	32.9	0.0	5.0	0.0	50365.0	0.0	4878.0	0.0	-90900.5	22.5	885.5	11.5	6719.0	16.0	288.0	7.0	44.6	0.6	32.8	0.1	-26.15	0.65	73.55	1.25	-58.65	0.65	-36.1	0.6	-30.0	0.1	29.0	0.65	-425.0	7.0	-1071.0	3.5	1036.0	23.0	40.65	1.25	-91.55	0.65	1.25	0.05	-2.8	0.0
10.0	0.0	50031.0	0.0	169.0	0.0	5547.0	0.0	503.0	0.0	8.5	0.0	2.8	0.0	32.9	0.0	10.0	0.0	50297.0	68.0	5597.0	23.0	-90900.5	22.5	273.0	0.0	899.5	2.5	337.0	37.0	13.7	0.0	5.0	0.0	-30.65	3.35	36.5	0.0	-223.75	24.45	-5.2	0.0	-2.2	0.0	33.4	3.35	-61.0	0.0	-79.0	0.0	1193.0	119.5	3.6	0.0	-256.65	24.45	0.1	0.0	-7.8	0.7
15.0	0.0	50030.0	0.0	191.0	0.0	7997.0	0.0	503.0	0.0	9.6	0.0	4.0	0.0	41.7	0.0	15.0	0.0	50399.0	102.0	8170.0	139.0	-90923.0	0.0	330.0	29.0	950.0	75.0	297.5	11.5	16.65	1.45	7.75	0.75	-27.05	1.05	46.55	0.45	-163.15	7.95	-7.0	1.45	-3.8	0.75	31.0	1.05	-73.0	15.5	-95.0	18.5	775.0	26.0	4.85	0.45	-204.85	7.95	0.1	0.0	-4.9	0.2
5.0	0.0	50033.0	0.0	279.0	0.0	5136.5	0.5	1506.0	0.0	14.0	0.0	7.7	0.0	55.0	0.0	5.0	0.0	50808.0	102.0	5620.0	0.0	-90878.0	0.0	339.0	3.0	913.0	27.0	350.5	9.5	17.2	0.2	5.15	0.15	-31.85	0.85	29.95	1.25	-185.3	7.1	-3.2	0.2	2.6	0.15	39.6	0.85	-23.0	1.5	34.0	2.0	514.0	11.0	-25.05	1.25	-240.3	7.1	-0.45	0.05	-4.35	0.15
10.0	0.0	50033.5	0.5	279.0	0.0	5137.0	0.0	1506.0	0.0	14.0	0.0	7.7	0.0	55.0	0.0	10.0	0.0	50569.5	68.5	5133.5	23.5	-90923.0	0.0	387.0	23.0	2070.5	64.5	246.0	16.0	19.55	1.15	10.65	0.35	-22.35	1.45	54.8	5.0	-114.3	0.7	-5.6	1.15	-3.0	0.35	30.0	1.45	-40.0	8.5	-39.0	4.5	390.0	19.0	-0.2	5.0	-169.3	0.7	0.0	0.1	-3.1	0.0
15.0	0.0	50036.0	0.0	351.0	0.0	7613.5	0.5	1506.0	0.0	17.6	0.0	11.5	0.0	65.3	0.0	15.0	0.0	50297.0	68.0	7753.0	139.0	-90923.0	0.0	490.5	17.5	2057.5	56.5	274.0	21.0	24.65	0.85	15.95	0.15	-24.9	1.9	64.8	2.8	-101.4	11.2	-7.0	0.85	-4.4	0.15	36.4	1.9	-40.0	5.0	-38.0	1.5	317.0	16.5	-0.5	2.8	-166.7	11.2	-0.05	0.05	-2.55	0.15
5.0	0.0	50036.5	0.5	386.0	0.0	4939.0	0.0	2510.0	0.0	19.3	0.0	12.4	0.0	64.2	0.0	5.0	0.0	50467.0	34.0	5156.5	46.5	-90923.0	0.0	401.5	8.5	2030.5	61.5	332.0	5.0	20.25	0.45	10.45	0.25	-30.15	0.45	51.6	0.1	-149.0	5.5	-0.9	0.45	2.0	0.25	42.6	0.45	-5.0	2.0	16.0	2.0	344.0	3.5	-12.6	0.1	-213.2	5.5	-0.2	0.0	-3.3	0.1
10.0	0.0	50036.0	0.0	386.0	0.0	4939.5	0.5	2510.0	0.0	19.3	0.0	12.4	0.0	64.2	0.0	10.0	0.0	50399.5	170.5	5110.5	46.5	-90923.0	0.0	510.5	8.5	3164.5	32.5	248.5	9.5	25.7	0.5	16.2	0.3	-22.6	0.9	63.1	2.4	-88.05	5.25	-6.4	0.5	-3.8	0.3	35.0	0.9	-33.0	2.5	-31.0	2.5	282.0	7.5	-1.1	2.4	-152.25	5.25	-0.05	0.05	-2.4	0.1
15.0	0.0	50032.0	0.0	509.0	0.0	7426.0	0.0	2510.0	0.0	25.5	0.0	18.6	0.0	72.9	0.0	15.0	0.0	50194.5	238.5	7590.5	69.5	-90878.0	0.0	659.5	2.5	3228.5	37.5	290.0	65.0	33.1	0.3	24.5	0.5	-26.35	5.95	74.05	0.85	-79.45	17.25	-7.6	0.3	-5.9	0.5	45.0	5.95	-30.0	1.0	-32.0	2.5	242.0	32.0	1.15	0.85	-152.35	17.25	0.0	0.0	-2.1	0.2
5.0	0.0	50033.0	0.0	493.0	0.0	4797.0	0.0	3514.0	0.0	24.7	0.0	16.9	0.0	68.4	0.0	5.0	0.0	50331.0	34.0	5040.5	23.5	-90878.0	0.0	519.0	23.0	3186.0	59.0	232.0	58.0	26.15	1.15	16.05	0.25	-21.1	5.3	61.45	1.75	-79.95	16.75	-1.4	1.15	0.8	0.25	38.0	5.3	-6.0	5.0	5.0	1.5	225.0	31.5	-6.95	1.75	-148.35	16.75	-0.1	0.0	-2.15	0.25
