Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	40056.5	0.5	189.0	0.0	4433.0	0.0	503.0	0.0	7.6	0.0	2.2	0.0	28.9	0.0	5.0	0.0	40318.5	102.5	3742.5	23.5	-90833.0	0.0	902.5	11.5	6684.0	3.0	230.0	14.0	36.35	0.55	25.05	0.15	-20.9	1.3	68.95	0.65	-57.45	2.75	-28.8	0.55	-22.8	0.15	23.1	1.3	-379.0	7.5	-1036.0	6.5	1050.0	59.0	40.05	0.65	-86.35	2.75	1.4	0.0	-3.0	0.1
10.0	0.0	40056.5	0.5	189.0	0.0	4433.0	0.0	503.0	0.0	7.6	0.0	2.2	0.0	28.9	0.0	10.0	0.0	40353.0	0.0	4484.5	69.5	-90900.5	22.5	330.5	11.5	869.5	37.5	264.5	16.5	13.35	0.45	3.9	0.2	-24.0	1.5	29.2	0.5	-179.6	5.2	-5.8	0.45	-1.7	0.2	26.2	1.5	-76.0	6.0	-77.0	9.0	1191.0	68.0	0.3	0.5	-208.5	5.2	0.0	0.0	-7.2	0.2
15.0	0.0	40057.0	0.0	211.0	0.0	6390.0	0.0	503.0	0.0	8.5	0.0	3.2	0.0	37.6	0.0	15.0	0.0	40420.5	136.5	6478.0	23.0	-90923.0	0.0	339.0	3.0	822.0	32.0	253.0	0.0	13.7	0.2	5.3	0.2	-23.0	0.0	38.7	2.0	-167.95	2.45	-5.2	0.2	-2.1	0.2	26.2	0.0	-61.0	2.5	-66.0	6.5	819.0	0.0	1.1	2.0	-205.55	2.45	0.05	0.05	-5.45	0.05
5.0	0.0	40056.0	0.0	298.0	0.0	4079.0	0.0	1506.0	0.0	11.9	0.0	6.1	0.0	51.3	0.0	5.0	0.0	40182.0	102.0	4461.0	139.0	-90878.0	0.0	287.5	31.5	918.5	21.5	297.0	16.0	11.55	1.25	4.1	0.2	-26.95	1.45	36.1	5.6	-234.75	12.85	0.3	1.25	2.0	0.2	33.0	1.45	3.0	10.5	33.0	3.0	541.0	24.0	-15.2	5.6	-286.05	12.85	-0.3	0.1	-5.55	0.25
10.0	0.0	40056.5	0.5	298.0	0.0	4079.0	0.0	1506.0	0.0	11.9	0.0	6.1	0.0	51.3	0.0	10.0	0.0	40284.5	68.5	4021.0	23.0	-90878.0	0.0	427.5	28.5	2049.0	0.0	269.5	11.5	17.2	1.1	8.25	0.05	-24.45	1.05	48.2	3.4	-142.3	3.0	-5.3	1.1	-2.2	0.05	30.6	1.05	-45.0	9.5	-36.0	1.0	502.0	17.0	-3.1	3.4	-193.6	3.0	-0.05	0.05	-3.75	0.05
15.0	0.0	40058.0	0.0	370.0	0.0	6065.0	0.0	1506.0	0.0	14.8	0.0	9.1	0.0	61.5	0.0	15.0	0.0	40318.5	102.5	6107.0	209.0	-90900.5	22.5	508.0	0.0	2030.5	18.5	253.0	19.0	20.45	0.05	12.4	0.3	-23.0	1.7	60.65	1.65	-112.45	8.05	-5.6	0.05	-3.3	0.3	32.1	1.7	-38.0	0.5	-36.0	3.5	353.0	18.5	-0.85	1.65	-173.95	8.05	0.0	0.0	-2.85	0.15
5.0	0.0	40056.0	0.0	405.0	0.0	3907.0	0.0	2510.0	0.0	16.2	0.0	9.8	0.0	60.5	0.0	5.0	0.0	40455.0	102.0	4090.5	46.5	-90878.0	45.0	436.0	14.0	2052.5	29.5	313.5	13.5	17.65	0.65	8.4	0.2	-28.45	1.25	47.7	2.9	-161.15	1.15	-1.4	0.65	1.4	0.2	38.2	1.25	-9.0	4.0	14.0	2.0	390.0	12.5	-12.8	2.9	-221.65	1.15	-0.25	0.05	-3.65	0.05
10.0	0.0	40056.0	0.0	405.0	0.0	3907.0	0.0	2510.0	0.0	16.2	0.0	9.8	0.0	60.5	0.0	10.0	0.0	40625.0	68.0	3905.0	0.0	-90900.5	22.5	536.0	23.0	3218.5	37.5	262.5	46.5	21.8	0.9	12.55	0.15	-23.85	4.25	57.7	3.1	-110.35	24.05	-5.6	0.9	-2.8	0.15	33.7	4.25	-35.0	5.5	-29.0	1.5	344.0	43.5	-2.8	3.1	-170.85	24.05	-0.05	0.05	-2.8	0.4
15.0	0.0	40055.0	0.0	528.0	0.0	5899.0	0.0	2510.0	0.0	21.1	0.0	14.8	0.0	70.1	0.0	15.0	0.0	40216.5	136.5	5991.0	0.0	-90923.0	0.0	676.5	14.5	3170.0	27.0	244.0	42.0	27.2	0.5	19.0	0.2	-22.2	3.8	69.9	2.0	-81.9	15.5	-6.1	0.5	-4.2	0.2	37.0	3.8	-29.0	2.0	-28.0	1.5	250.0	26.0	-0.2	2.0	-152.0	15.5	0.0	0.0	-2.15	0.25
5.0	0.0	40056.0	0.0	511.5	0.5	3780.0	0.0	3513.0	0.0	20.5	0.0	13.3	0.0	64.9	0.0	5.0	0.0	40557.0	136.0	3998.0	139.0	-90855.5	22.5	542.0	0.0	3188.5	18.5	304.5	18.5	22.0	0.1	12.75	0.55	-27.7	1.7	57.95	2.75	-125.9	8.3	-1.5	0.1	0.6	0.55	41.0	1.7	-7.0	0.5	5.0	4.0	308.0	13.0	-6.95	2.75	-190.8	8.3	-0.1	0.0	-2.95	0.15
10.0	0.0	40056.0	0.0	512.0	0.0	3780.0	0.0	3513.0	0.0	20.5	0.0	13.3	0.0	64.9	0.0	10.0	0.0	40216.5	272.5	3928.0	23.0	-90878.0	0.0	662.5	11.5	4368.0	13.0	250.5	30.5	26.65	0.25	17.15	0.15	-22.75	2.75	64.35	0.05	-85.3	9.5	-6.1	0.25	-3.8	0.15	36.0	2.75	-30.0	1.0	-29.0	1.0	271.0	21.0	-0.55	0.05	-150.2	9.5	0.0	0.0	-2.35	0.15
15.0	0.0	40056.0	0.0	684.0	0.0	5773.0	0.0	3513.0	0.0	27.4	0.0	20.3	0.0	74.1	0.0	15.0	0.0	40455.0	34.0	5875.5	69.5	-90855.5	22.5	863.0	23.0	4330.5	18.5	264.5	2.5	34.95	0.95	25.45	0.45	-24.05	0.25	72.8	0.7	-68.9	2.6	-7.6	0.95	-5.1	0.45	44.4	0.25	-28.0	3.5	-25.0	2.5	219.0	1.5	-1.3	0.7	-143.0	2.6	0.0	0.0	-1.95	0.05
5.0	0.0	40057.0	0.0	618.0	0.0	3667.0	0.0	4517.0	0.0	24.8	0.0	16.6	0.0	66.9	0.0	5.0	0.0	40216.5	136.5	3928.0	116.0	-90878.0	0.0	636.5	8.5	4354.5	53.5	241.5	30.5	25.6	0.4	17.1	0.3	-21.95	2.75	66.8	2.2	-85.9	12.1	-0.8	0.4	-0.5	0.3	38.6	2.75	-3.0	1.5	-3.0	2.0	233.0	16.5	-0.1	2.2	-152.8	12.1	0.0	0.0	-2.3	0.2
10.0	0.0	40056.5	0.5	618.0	0.0	3667.0	0.0	4517.0	0.0	24.8	0.0	16.6	0.0	66.9	0.0	10.0	0.0	40182.5	306.5	3603.5	23.5	-90878.0	45.0	788.5	11.5	5477.5	29.5	257.5	9.5	31.7	0.2	19.75	0.25	-23.4	0.9	62.3	0.4	-73.8	2.4	-6.9	0.2	-3.1	0.25	40.0	0.9	-28.0	1.0	-19.0	1.5	241.0	5.0	-4.6	0.4	-140.7	2.4	-0.1	0.0	-2.1	0.0
15.0	0.0	40060.0	0.0	840.0	0.0	5660.0	0.0	4517.0	0.0	33.7	0.0	25.6	0.0	76.0	0.0	15.0	0.0	40284.5	204.5	5875.0	23.0	-90900.5	22.5	1057.5	5.5	5547.5	24.5	183.0	28.0	42.6	0.4	32.6	0.3	-16.65	2.55	76.5	0.0	-39.05	5.65	-8.9	0.4	-7.0	0.3	42.2	2.55	-26.0	1.5	-27.0	1.5	165.0	10.0	0.5	0.0	-115.05	5.65	0.0	0.0	-1.5	0.1
5.0	0.0	40057.0	0.0	724.0	0.0	3560.0	0.0	5521.5	0.5	29.0	0.0	19.7	0.0	67.9	0.0	5.0	0.0	40216.0	68.0	3742.5	23.5	-90878.0	0.0	768.0	3.0	5547.5	24.5	220.0	14.0	30.9	0.1	20.75	0.25	-20.0	1.3	67.15	1.05	-64.75	4.45	-1.9	0.1	-1.1	0.25	39.7	1.3	-7.0	0.5	-6.0	1.5	202.0	6.5	-0.75	1.05	-132.65	4.45	0.0	0.0	-1.95	0.05
10.0	0.0	40056.5	0.5	724.0	0.0	3559.0	0.0	5522.0	0.0	29.0	0.0	19.7	0.0	67.9	0.0	10.0	0.0	40114.0	102.0	3719.5	46.5	-90878.0	0.0	883.0	3.0	6587.5	83.5	271.5	9.5	35.4	0.2	24.5	0.0	-24.65	0.85	69.2	0.4	-69.65	2.75	-6.4	0.2	-4.8	0.0	44.3	0.85	-22.0	1.0	-24.0	0.0	225.0	4.0	1.3	0.4	-137.55	2.75	0.0	0.0	-2.05	0.05
15.0	0.0	40056.5	0.5	996.0	0.0	5550.0	0.0	5522.0	0.0	39.9	0.0	30.6	0.0	76.7	0.0	15.0	0.0	40114.0	34.0	5828.5	69.5	-90855.5	22.5	1206.5	28.5	6718.5	53.5	167.0	12.0	48.4	1.2	39.15	0.15	-15.2	1.1	80.95	2.35	-31.4	1.5	-8.5	1.2	-8.5	0.15	45.8	1.1	-21.0	3.0	-28.0	0.5	150.0	3.5	4.25	2.35	-108.1	1.5	0.05	0.05	-1.4	0.0
