DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
101.0	0.5	702.0	2547.0	2394.0	1924.0	2039.0	2004.0
101.0	0.5	705.0	2547.0	2395.0	1928.0	2031.0	1988.0
101.0	0.5	698.0	2543.0	2392.0	1921.0	2031.0	1987.0
101.0	0.5	704.0	2548.0	2395.0	1930.0	2029.0	2002.0
101.0	0.5	699.0	2547.0	2394.0	1916.0	2027.0	2003.0
1957.0	0.5	707.0	2549.0	2364.0	2095.0	2025.0	2347.0
1957.0	0.5	699.0	2539.0	2358.0	2109.0	2029.0	2332.0
1957.0	0.5	701.0	2545.0	2360.0	2106.0	2038.0	2340.0
1957.0	0.5	700.0	2541.0	2365.0	2109.0	2029.0	2339.0
1957.0	0.5	702.0	2548.0	2363.0	2080.0	2037.0	2355.0
3813.0	0.5	703.0	2543.0	2359.0	2249.0	2025.0	2665.0
3813.0	0.5	705.0	2541.0	2357.0	2266.0	2029.0	2683.0
3813.0	0.5	700.0	2548.0	2355.0	2264.0	2052.0	2687.0
3813.0	0.5	703.0	2545.0	2361.0	2269.0	2027.0	2677.0
3812.0	0.5	708.0	2540.0	2360.0	2264.0	2019.0	2685.0
5668.0	0.5	706.0	2541.0	2353.0	2434.0	2039.0	3019.0
5668.0	0.5	706.0	2545.0	2351.0	2405.0	2034.0	3009.0
5668.0	0.5	706.0	2546.0	2354.0	2431.0	2045.0	3018.0
5668.0	0.5	711.0	2542.0	2355.0	2434.0	2018.0	3002.0
5668.0	0.5	703.0	2543.0	2353.0	2436.0	2018.0	3016.0
7524.0	0.5	711.0	2538.0	2349.0	2605.0	2023.0	3362.0
7524.0	0.5	708.0	2543.0	2342.0	2587.0	2025.0	3360.0
7524.0	0.5	707.0	2543.0	2350.0	2593.0	2033.0	3364.0
7525.0	0.5	705.0	2544.0	2352.0	2602.0	2026.0	3358.0
7524.0	0.5	708.0	2545.0	2347.0	2585.0	2030.0	3351.0
