DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
49025	50.0	49091.0	-1437.0	-1325.0	-134.0	-288.0	-9.0
49025	50.0	49091.0	-1483.0	-1371.0	-17.0	-218.0	1.0
49025	50.0	49294.0	-1483.0	-1325.0	-65.0	-234.0	-9.0
49025	50.0	48551.0	-1483.0	-1371.0	-144.0	-196.0	-4.0
49025	50.0	49159.0	-1437.0	-1279.0	-23.0	-261.0	-4.0
49025	50.0	49091.0	-1391.0	-1325.0	-44.0	-196.0	17.0
49025	50.0	48551.0	-1298.0	-1233.0	-60.0	-261.0	7.0
49025	50.0	48686.0	-1298.0	-1463.0	-60.0	-207.0	-9.0
49025	50.0	49024.0	-1437.0	-1233.0	-91.0	-223.0	7.0
53039	50.0	52805.0	-1483.0	-1371.0	25.0	-261.0	17.0
53039	50.0	53008.0	-1575.0	-1325.0	-65.0	-229.0	70.0
53039	50.0	52535.0	-1437.0	-1325.0	-7.0	-201.0	-15.0
53039	50.0	53008.0	-1391.0	-1233.0	-33.0	-261.0	54.0
53039	50.0	52873.0	-1437.0	-1417.0	-7.0	-158.0	-25.0
53039	50.0	52670.0	-1391.0	-1371.0	-33.0	-223.0	76.0
53038	50.0	53075.0	-1437.0	-1325.0	-54.0	-261.0	12.0
53039	50.0	52670.0	-1437.0	-1279.0	-70.0	-250.0	33.0
53039	50.0	52805.0	-1252.0	-1417.0	-86.0	-229.0	22.0
53039	50.0	52873.0	-1483.0	-1279.0	-28.0	-212.0	-9.0
58038	50.0	57735.0	-1437.0	-1325.0	-107.0	-207.0	1.0
58038	50.0	58005.0	-1391.0	-1463.0	-60.0	-288.0	1.0
58038	50.0	57532.0	-1391.0	-1371.0	-28.0	-212.0	12.0
58038	50.0	57870.0	-1529.0	-1417.0	-144.0	-234.0	-41.0
58038	50.0	57735.0	-1298.0	-1371.0	-97.0	-250.0	-41.0
58038	50.0	57667.0	-1391.0	-1325.0	-134.0	-234.0	65.0
58038	50.0	57465.0	-1391.0	-1325.0	-49.0	-142.0	-15.0
58038	50.0	57735.0	-1437.0	-1279.0	-113.0	-250.0	-4.0
58038	50.0	57667.0	-1345.0	-1417.0	-44.0	-283.0	-52.0
58038	50.0	57735.0	-1298.0	-1371.0	-44.0	-212.0	-20.0
62053	50.0	61922.0	-1621.0	-1325.0	-23.0	-245.0	-25.0
62053	50.0	61449.0	-1483.0	-1463.0	-102.0	-196.0	-20.0
62053	50.0	62259.0	-1298.0	-1463.0	-171.0	-261.0	22.0
62053	50.0	61854.0	-1437.0	-1279.0	-28.0	-180.0	28.0
62053	50.0	61989.0	-1437.0	-1325.0	-102.0	-174.0	-25.0
62053	50.0	62124.0	-1391.0	-1417.0	-12.0	-185.0	-110.0
62053	50.0	61719.0	-1345.0	-1279.0	-44.0	-196.0	44.0
62053	50.0	61651.0	-1483.0	-1233.0	-60.0	-250.0	-9.0
62053	50.0	61922.0	-1391.0	-1417.0	-28.0	-218.0	28.0
62053	50.0	61651.0	-1483.0	-1325.0	-28.0	-250.0	-4.0
66045	50.0	65703.0	-1252.0	-1279.0	-118.0	-250.0	-41.0
66044	50.0	66108.0	-1437.0	-1325.0	-81.0	-212.0	-25.0
66044	50.0	66176.0	-1437.0	-1233.0	-54.0	-185.0	44.0
66045	50.0	65771.0	-1391.0	-1325.0	-70.0	-278.0	-57.0
66045	50.0	66041.0	-1298.0	-1325.0	-54.0	-207.0	-4.0
66045	50.0	65838.0	-1345.0	-1233.0	-129.0	-250.0	7.0
66045	50.0	66108.0	-1391.0	-1187.0	-70.0	-229.0	-4.0
66044	50.0	65568.0	-1437.0	-1279.0	-33.0	-267.0	-41.0
66045	50.0	65906.0	-1391.0	-1187.0	-113.0	-169.0	-78.0
66045	50.0	65703.0	-1437.0	-1187.0	-7.0	-256.0	-20.0
70023	50.0	69755.0	-1160.0	-1325.0	-49.0	-239.0	54.0
70023	50.0	70565.0	-1068.0	-1094.0	-91.0	-191.0	22.0
70023	50.0	70295.0	-1206.0	-1002.0	-102.0	-185.0	-9.0
70023	50.0	70295.0	-1345.0	-1233.0	41.0	-245.0	7.0
70023	50.0	70092.0	-1345.0	-1279.0	-60.0	-196.0	-94.0
70023	50.0	70295.0	-1345.0	-1325.0	-7.0	-153.0	22.0
70024	50.0	70295.0	-1206.0	-1279.0	30.0	-229.0	22.0
70023	50.0	70160.0	-1206.0	-1094.0	41.0	-142.0	-15.0
70023	50.0	70025.0	-1345.0	-1094.0	-49.0	-158.0	-68.0
70023	50.0	69890.0	-1252.0	-1048.0	-39.0	-196.0	-15.0
75042	50.0	74819.0	-1298.0	-1233.0	-70.0	-229.0	76.0
