DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
101.0	0.5	698.0	2547.0	2384.0	1916.0	2015.0	1976.0
101.0	0.5	701.0	2544.0	2385.0	1909.0	2029.0	1997.0
101.0	0.5	696.0	2550.0	2385.0	1932.0	2035.0	1992.0
102.0	0.5	706.0	2548.0	2386.0	1915.0	2022.0	1992.0
101.0	0.5	705.0	2547.0	2382.0	1922.0	2029.0	1995.0
1957.0	0.5	702.0	2545.0	2347.0	2084.0	2031.0	2337.0
1957.0	0.5	701.0	2549.0	2355.0	2086.0	2042.0	2330.0
1957.0	0.5	702.0	2546.0	2351.0	2106.0	2035.0	2346.0
1957.0	0.5	707.0	2542.0	2347.0	2105.0	2031.0	2341.0
1957.0	0.5	709.0	2542.0	2353.0	2101.0	2022.0	2344.0
3812.0	0.5	709.0	2543.0	2347.0	2258.0	2034.0	2680.0
3812.0	0.5	704.0	2545.0	2351.0	2255.0	2034.0	2684.0
3812.0	0.5	700.0	2542.0	2347.0	2260.0	2031.0	2672.0
3812.0	0.5	706.0	2543.0	2342.0	2256.0	2033.0	2668.0
3812.0	0.5	702.0	2544.0	2345.0	2263.0	2032.0	2682.0
5668.0	0.5	708.0	2542.0	2338.0	2426.0	2031.0	3022.0
5668.0	0.5	707.0	2543.0	2345.0	2420.0	2031.0	3020.0
5668.0	0.5	708.0	2544.0	2345.0	2419.0	2032.0	3012.0
5668.0	0.5	710.0	2544.0	2344.0	2415.0	2031.0	3017.0
5668.0	0.5	707.0	2545.0	2344.0	2432.0	2029.0	3027.0
7524.0	0.5	705.0	2545.0	2342.0	2594.0	2030.0	3357.0
7524.0	0.5	708.0	2541.0	2337.0	2593.0	2039.0	3360.0
7524.0	0.5	705.0	2544.0	2339.0	2609.0	2030.0	3343.0
7524.0	0.5	709.0	2542.0	2341.0	2595.0	2019.0	3350.0
7524.0	0.5	705.0	2541.0	2340.0	2596.0	2023.0	3332.0
