DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
127.0	0.5	700.0	2547.0	2333.0	1937.0	2032.0	1985.0
127.0	0.5	699.0	2544.0	2337.0	1934.0	2041.0	1997.0
127.0	0.5	699.0	2545.0	2336.0	1929.0	2032.0	1991.0
127.0	0.5	706.0	2548.0	2338.0	1900.0	2042.0	1992.0
127.0	0.5	705.0	2545.0	2338.0	1914.0	2034.0	2001.0
1039.0	0.5	702.0	2541.0	2302.0	2082.0	2037.0	2330.0
1039.0	0.5	705.0	2541.0	2300.0	2108.0	2034.0	2352.0
1039.0	0.5	702.0	2545.0	2298.0	2115.0	2023.0	2341.0
1039.0	0.5	703.0	2546.0	2301.0	2088.0	2043.0	2336.0
1039.0	0.5	705.0	2547.0	2303.0	2093.0	2026.0	2337.0
1943.0	0.5	709.0	2546.0	2297.0	2254.0	2036.0	2684.0
1943.0	0.5	709.0	2545.0	2294.0	2256.0	2035.0	2668.0
1943.0	0.5	705.0	2546.0	2294.0	2275.0	2018.0	2676.0
1943.0	0.5	703.0	2543.0	2298.0	2271.0	2023.0	2679.0
1943.0	0.5	702.0	2544.0	2295.0	2248.0	2036.0	2678.0
2844.0	0.5	703.0	2542.0	2289.0	2428.0	2028.0	3006.0
2844.0	0.5	708.0	2545.0	2288.0	2437.0	2047.0	3003.0
2844.0	0.5	713.0	2544.0	2290.0	2410.0	2026.0	3013.0
2844.0	0.5	708.0	2542.0	2292.0	2418.0	2045.0	3013.0
2844.0	0.5	703.0	2546.0	2291.0	2452.0	2025.0	3025.0
3744.0	0.5	701.0	2541.0	2283.0	2589.0	2026.0	3364.0
3744.0	0.5	705.0	2544.0	2285.0	2560.0	2022.0	3352.0
3745.0	0.5	709.0	2542.0	2290.0	2588.0	2027.0	3343.0
3745.0	0.5	703.0	2546.0	2285.0	2578.0	2028.0	3358.0
3745.0	0.5	710.0	2548.0	2289.0	2596.0	2029.0	3351.0
