DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
127.0	0.5	707.0	2540.0	2343.0	2002.0	2044.0	2166.0
127.0	0.5	701.0	2545.0	2346.0	1996.0	2042.0	2167.0
127.0	0.5	701.0	2545.0	2346.0	2003.0	2027.0	2155.0
127.0	0.5	703.0	2547.0	2344.0	2005.0	2030.0	2171.0
127.0	0.5	701.0	2547.0	2347.0	1997.0	2037.0	2169.0
1039.0	0.5	702.0	2544.0	2324.0	2110.0	2029.0	2331.0
1039.0	0.5	702.0	2546.0	2322.0	2090.0	2032.0	2329.0
1039.0	0.5	703.0	2547.0	2322.0	2099.0	2033.0	2347.0
1039.0	0.5	706.0	2547.0	2323.0	2096.0	2034.0	2346.0
1039.0	0.5	706.0	2546.0	2323.0	2091.0	2027.0	2342.0
1942.0	0.5	704.0	2542.0	2313.0	2259.0	2034.0	2683.0
1942.0	0.5	701.0	2547.0	2311.0	2280.0	2037.0	2672.0
1942.0	0.5	706.0	2546.0	2314.0	2262.0	2037.0	2671.0
1942.0	0.5	709.0	2542.0	2309.0	2259.0	2036.0	2676.0
1942.0	0.5	704.0	2546.0	2306.0	2258.0	2042.0	2691.0
2843.0	0.5	704.0	2548.0	2303.0	2418.0	2036.0	3015.0
2843.0	0.5	711.0	2546.0	2301.0	2430.0	2023.0	3018.0
2843.0	0.5	706.0	2546.0	2301.0	2425.0	2030.0	3019.0
2843.0	0.5	711.0	2544.0	2303.0	2437.0	2032.0	3016.0
2843.0	0.5	703.0	2544.0	2301.0	2413.0	2032.0	3008.0
3743.0	0.5	707.0	2546.0	2294.0	2614.0	2039.0	3356.0
3744.0	0.5	706.0	2541.0	2294.0	2585.0	2015.0	3350.0
3744.0	0.5	703.0	2545.0	2294.0	2597.0	2042.0	3357.0
3744.0	0.5	711.0	2545.0	2296.0	2595.0	2046.0	3349.0
3744.0	0.5	708.0	2547.0	2293.0	2598.0	2033.0	3346.0
