DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
101.0	0.5	704.0	2540.0	2546.0	1923.0	2041.0	1978.0
101.0	0.5	708.0	2545.0	2547.0	1930.0	2057.0	1964.0
102.0	0.5	707.0	2542.0	2542.0	1931.0	2044.0	1975.0
102.0	0.5	700.0	2541.0	2546.0	1915.0	2052.0	1974.0
101.0	0.5	704.0	2540.0	2549.0	1917.0	2050.0	1979.0
1957.0	0.5	700.0	2502.0	2544.0	2101.0	2398.0	1956.0
1957.0	0.5	697.0	2499.0	2540.0	2092.0	2385.0	1970.0
1957.0	0.5	699.0	2504.0	2548.0	2096.0	2401.0	1966.0
1957.0	0.5	697.0	2505.0	2547.0	2100.0	2398.0	1975.0
1957.0	0.5	702.0	2501.0	2545.0	2090.0	2410.0	1967.0
3813.0	0.5	699.0	2494.0	2544.0	2266.0	2720.0	1949.0
3813.0	0.5	697.0	2498.0	2548.0	2295.0	2728.0	1950.0
3813.0	0.5	695.0	2498.0	2546.0	2266.0	2741.0	1963.0
3813.0	0.5	700.0	2502.0	2548.0	2289.0	2743.0	1963.0
3813.0	0.5	698.0	2504.0	2538.0	2260.0	2740.0	1972.0
5668.0	0.5	701.0	2496.0	2544.0	2435.0	3085.0	1933.0
5668.0	0.5	696.0	2493.0	2540.0	2443.0	3080.0	1949.0
5668.0	0.5	701.0	2494.0	2546.0	2427.0	3075.0	1947.0
5668.0	0.5	702.0	2495.0	2547.0	2443.0	3091.0	1934.0
5668.0	0.5	696.0	2492.0	2543.0	2455.0	3097.0	1945.0
7524.0	0.5	694.0	2490.0	2541.0	2623.0	3423.0	1943.0
7524.0	0.5	694.0	2495.0	2546.0	2593.0	3419.0	1929.0
7524.0	0.5	694.0	2489.0	2543.0	2608.0	3423.0	1922.0
7525.0	0.5	694.0	2488.0	2543.0	2606.0	3429.0	1946.0
7525.0	0.5	701.0	2488.0	2548.0	2603.0	3427.0	1948.0
