DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
127.0	0.5	702.0	2543.0	2543.0	1908.0	2055.0	1971.0
127.0	0.5	703.0	2542.0	2548.0	1905.0	2045.0	1982.0
127.0	0.5	703.0	2543.0	2542.0	1922.0	2041.0	1991.0
127.0	0.5	699.0	2545.0	2545.0	1923.0	2045.0	1963.0
127.0	0.5	706.0	2543.0	2539.0	1929.0	2043.0	1986.0
1038.0	0.5	702.0	2505.0	2542.0	2101.0	2389.0	1971.0
1038.0	0.5	704.0	2504.0	2543.0	2108.0	2393.0	1970.0
1038.0	0.5	701.0	2507.0	2545.0	2114.0	2401.0	1964.0
1038.0	0.5	699.0	2505.0	2545.0	2095.0	2401.0	1981.0
1038.0	0.5	703.0	2506.0	2544.0	2112.0	2399.0	1970.0
1940.0	0.5	697.0	2501.0	2543.0	2279.0	2731.0	1954.0
1940.0	0.5	701.0	2499.0	2544.0	2255.0	2738.0	1953.0
1940.0	0.5	699.0	2496.0	2546.0	2274.0	2744.0	1951.0
1940.0	0.5	695.0	2500.0	2545.0	2279.0	2741.0	1954.0
1940.0	0.5	703.0	2499.0	2546.0	2254.0	2741.0	1964.0
2839.0	0.5	702.0	2496.0	2542.0	2426.0	3091.0	1939.0
2839.0	0.5	702.0	2495.0	2545.0	2454.0	3077.0	1967.0
2839.0	0.5	701.0	2493.0	2545.0	2431.0	3070.0	1953.0
2839.0	0.5	695.0	2498.0	2542.0	2418.0	3080.0	1951.0
2839.0	0.5	703.0	2497.0	2539.0	2451.0	3063.0	1942.0
3738.0	0.5	701.0	2498.0	2544.0	2610.0	3419.0	1937.0
3738.0	0.5	694.0	2495.0	2543.0	2627.0	3422.0	1948.0
3738.0	0.5	700.0	2488.0	2544.0	2602.0	3414.0	1943.0
3738.0	0.5	695.0	2491.0	2541.0	2626.0	3411.0	1936.0
3738.0	0.5	694.0	2492.0	2546.0	2607.0	3413.0	1943.0
