DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
101.0	0.5	698.0	2540.0	2549.0	1934.0	2048.0	1973.0
101.0	0.5	703.0	2537.0	2546.0	1926.0	2042.0	1980.0
101.0	0.5	704.0	2543.0	2541.0	1925.0	2053.0	1983.0
101.0	0.5	706.0	2543.0	2543.0	1917.0	2048.0	1977.0
102.0	0.5	699.0	2539.0	2546.0	1913.0	2042.0	1981.0
1957.0	0.5	698.0	2504.0	2547.0	2095.0	2384.0	1979.0
1957.0	0.5	698.0	2502.0	2545.0	2096.0	2372.0	1962.0
1957.0	0.5	703.0	2503.0	2539.0	2094.0	2391.0	1975.0
1957.0	0.5	701.0	2503.0	2541.0	2083.0	2406.0	1954.0
1957.0	0.5	702.0	2501.0	2545.0	2101.0	2410.0	1967.0
3813.0	0.5	698.0	2501.0	2546.0	2269.0	2739.0	1953.0
3813.0	0.5	701.0	2500.0	2540.0	2278.0	2746.0	1967.0
3813.0	0.5	700.0	2498.0	2547.0	2261.0	2730.0	1947.0
3813.0	0.5	701.0	2499.0	2545.0	2259.0	2741.0	1966.0
3813.0	0.5	705.0	2502.0	2547.0	2259.0	2753.0	1974.0
5668.0	0.5	703.0	2495.0	2542.0	2412.0	3080.0	1948.0
5668.0	0.5	700.0	2493.0	2541.0	2446.0	3066.0	1929.0
5668.0	0.5	700.0	2497.0	2541.0	2431.0	3085.0	1955.0
5668.0	0.5	699.0	2499.0	2544.0	2440.0	3088.0	1941.0
5668.0	0.5	695.0	2494.0	2540.0	2429.0	3086.0	1946.0
7524.0	0.5	694.0	2493.0	2542.0	2602.0	3422.0	1925.0
7525.0	0.5	696.0	2487.0	2545.0	2603.0	3426.0	1933.0
7525.0	0.5	696.0	2490.0	2544.0	2605.0	3434.0	1935.0
7525.0	0.5	696.0	2495.0	2548.0	2595.0	3421.0	1940.0
7525.0	0.5	699.0	2493.0	2539.0	2605.0	3423.0	1940.0
